,T_DATA_RT,T_DATA_F1_RT,T_DATA_F2_RT,T_DATA_F3_RT,I_DATA_RT,I_DATA_F1_RT,I_DATA_F2_RT,I_DATA_F3_RT,M_DATA_RT,M_DATA_F1_RT,M_DATA_F2_RT,M_DATA_F3_RT,R_DATA_RT,R_DATA_F1_RT,R_DATA_F2_RT,R_DATA_F3_RT,L_DATA_RT,L_DATA_F1_RT,L_DATA_F2_RT,L_DATA_F3_RT
508,63.0,62.400000000000006,64.66418574851744,64.20822165350074,63.0,63.00000000000001,65.31689716360748,65.59871530068659,63.0,62.89999999999997,65.34580876242623,65.51380545059608,63.0,62.609999999999985,65.42166533155546,65.18749393829646,63.0,62.96,65.32852610048718,65.51652179362995
509,63.0,62.400000000000006,64.7049779753004,64.20791193321556,63.0,63.00000000000001,65.31689716360748,65.58359734914899,63.0,62.91999999999997,65.34007974189674,65.53843853133597,63.0,62.649999999999984,65.41165204418806,65.20069833713885,63.0,62.97,65.32561567953434,65.51906646459187
510,63.0,62.400000000000006,64.74526820628903,64.20952293487072,63.0,63.00000000000001,65.31689716360748,65.56838871133212,63.0,62.93999999999997,65.33431028805853,65.55921913420487,63.0,62.68999999999998,65.40127126318922,65.21327128433035,63.0,62.98,65.32269948048483,65.52016338043013
511,63.0,62.400000000000006,64.78495477625282,64.21305792929505,63.0,63.00000000000001,65.31689716360748,65.5531999748334,63.0,62.95999999999997,65.32852610048718,65.57635880700713,63.0,62.72999999999998,65.39058822926788,65.22521535597255,63.0,62.99,65.31978955490776,65.51994002244308
512,63.0,62.400000000000006,64.82394318210814,64.21850958921162,63.0,63.00000000000001,65.31689716360748,65.53807364783702,63.0,62.96999999999997,65.32561567953434,65.59017929659284,63.0,62.76999999999998,65.3796651761258,65.23647381614248,63.0,63.0,65.31689716360748,65.51851669679547
513,63.0,62.400000000000006,64.8621460900233,64.2258608474159,63.0,63.00000000000001,65.31689716360748,65.52315712258942,63.0,62.979999999999976,65.32269948048483,65.60093881043247,63.0,62.79999999999998,65.37142566680129,65.24716073153206,63.0,63.0,65.31689716360748,65.51612118666313
514,63.0,62.400000000000006,64.89948330947732,64.2350851460397,63.0,63.00000000000001,65.31689716360748,65.50847255611174,63.0,62.989999999999974,65.31978955490776,65.60877478949845,63.0,62.829999999999984,65.36302370998197,65.2571580730685,63.0,63.0,65.31689716360748,65.51274361181086
515,63.0,62.400000000000006,64.93588173730275,64.24614556574532,63.0,63.00000000000001,65.31689716360748,65.49409042120101,63.0,62.99999999999997,65.31689716360748,65.6139341129711,63.0,62.859999999999985,65.35450337096202,65.26651956152442,63.0,63.0,65.31689716360748,65.50854020977653
516,63.0,62.400000000000006,64.97127527320787,64.25899414230304,63.0,63.00000000000001,65.31689716360748,65.4801293154274,63.0,62.99999999999997,65.31689716360748,65.61671425034615,63.0,62.88999999999998,65.3459063619079,65.27529709170497,63.0,63.0,65.31689716360748,65.50365972128432
517,63.0,62.400000000000006,65.00560470985874,64.27357252140163,63.0,63.00000000000001,65.31689716360748,65.46669829721552,63.0,62.99999999999997,65.31689716360748,65.61734753706607,63.0,62.90999999999998,65.34013641268136,65.28359799293267,63.0,63.0,65.31689716360748,65.49824334698012
518,63.0,62.400000000000006,65.03881759918839,64.28981320869391,63.0,63.00000000000001,65.31689716360748,65.45378251734104,63.0,62.99999999999997,65.31689716360748,65.61600139896413,63.0,62.92999999999998,65.3343284173615,65.29141238986664,63.0,63.0,65.31689716360748,65.49236744443785
519,63.0,62.400000000000006,65.07086809754688,64.30764075449468,63.0,63.00000000000001,65.31689716360748,65.4414741049284,63.0,62.99999999999997,65.31689716360748,65.61289338929097,63.0,62.94999999999998,65.3285080707997,65.29878637805703,63.0,63.0,65.31689716360748,65.48615886749934
520,63.0,62.400000000000006,65.10171679148367,64.32697287446032,63.0,63.00000000000001,65.31689716360748,65.42979939934901,63.0,62.99999999999997,65.31689716360748,65.60817578692783,63.0,62.969999999999985,65.32269948048483,65.30564958859335,63.0,63.0,65.31689716360748,65.47967985042825
521,63.0,62.400000000000006,65.13133050632383,64.34772150693362,63.0,63.00000000000001,65.31689716360748,65.41877722435936,63.0,62.99999999999997,65.31689716360748,65.60199341316878,63.0,62.97999999999998,65.31978955490776,65.31204583983101,63.0,63.0,65.31689716360748,65.47292880493946
522,63.0,62.400000000000006,65.15968209960857,64.36979380794483,63.0,63.00000000000001,65.31689716360748,65.40847660228312,63.0,62.99999999999997,65.31689716360748,65.59454091247255,63.0,62.98999999999998,65.31689716360748,65.31801740866064,63.0,63.0,65.31689716360748,65.46601318087176
523,63.0,62.400000000000006,65.18675024115836,64.39309308564762,63.0,63.00000000000001,65.31689716360748,65.39884456209073,63.0,62.99999999999997,65.31689716360748,65.58600472702147,63.0,62.99999999999998,65.31689716360748,65.32360500292486,63.0,63.0,65.31689716360748,65.45897652296767
524,63.0,62.400000000000006,65.21251918165858,64.41751967469938,63.0,63.00000000000001,65.31689716360748,65.38993704198101,63.0,62.99999999999997,65.31689716360748,65.57656295661747,63.0,62.99999999999998,65.31689716360748,65.328847738931,63.0,63.0,65.31689716360748,65.45191386031405
525,63.0,62.400000000000006,65.23697851136168,64.44297175250733,63.0,63.00000000000001,65.31689716360748,65.38168884258951,63.0,62.99999999999997,65.31689716360748,65.56638525443947,63.0,62.99999999999998,65.31689716360748,65.33372583660099,63.0,63.0,65.31689716360748,65.44479934704844
526,63.0,62.400000000000006,65.26012291101996,64.46934609850933,63.0,63.00000000000001,65.31689716360748,65.37414451999891,61.0,62.979999999999976,65.31683887061855,65.555631591338,61.0,62.97999999999998,65.31683887061855,65.33827477084571,63.0,63.0,65.31689716360748,65.43771700269863
527,63.0,62.400000000000006,65.28195189602499,64.49653879802844,63.0,63.00000000000001,65.31689716360748,65.36722832690938,59.0,62.93999999999997,65.31643814380833,65.54439041447162,59.0,62.93999999999998,65.31643814380833,65.34246559655227,60.0,62.97,65.31680972412408,65.43068604763265
528,63.0,62.400000000000006,65.30246955554891,64.52444589239951,63.0,63.00000000000001,65.31689716360748,65.36091780394355,59.0,62.89999999999997,65.31509723764995,65.53273041135513,59.0,62.899999999999984,65.31509723764995,65.34625670095576,60.0,62.94,65.31629607339212,65.4237140017118
529,63.0,62.400000000000006,65.3216842884981,64.5529639767099,63.0,63.00000000000001,65.31689716360748,65.35524360905234,57.0,62.839999999999975,65.3120047183787,65.52075372645744,57.0,62.83999999999998,65.3120047183787,65.34964698359182,56.0,62.87,65.31468177890872,65.4168475354952
530,63.0,62.400000000000006,65.33960853674563,64.58199074723359,63.0,63.00000000000001,65.31689716360748,65.35011728107972,57.0,62.77999999999997,65.30622532940966,65.50847837087184,57.0,62.77999999999998,65.30622532940966,65.3525582064094,56.0,62.8,65.31094328034794,65.41005043368317
531,63.0,62.400000000000006,65.35625851775595,64.61142549977538,63.0,63.00000000000001,65.31689716360748,65.34550480262982,56.0,62.70999999999997,65.29675121890358,65.49589486090262,56.0,62.70999999999998,65.29675121890358,65.35489155093758,52.0,62.69,65.30372794789305,65.40325515010977
532,63.0,62.400000000000006,65.37165395740283,64.64116958111104,62.0,62.99000000000001,65.31686801711301,65.34142581599738,53.0,62.60999999999997,65.2824895891818,65.48302205896891,55.0,62.62999999999998,65.28254788217072,65.35658452388935,49.0,62.55,65.29131619716674,65.39641304127753
533,63.0,62.400000000000006,65.38581782392964,64.67112679510984,62.0,62.98000000000001,65.31669680020234,65.3377796782174,53.0,62.50999999999997,65.2621652405257,65.46984574480092,55.0,62.54999999999998,65.26256596733593,65.35749547182301,49.0,62.41,65.27162030599257,65.38937195538576
534,63.0,62.41000000000001,65.39591168490387,64.70114647781338,62.0,62.970000000000006,65.31619756403381,65.33451694564543,53.0,62.409999999999975,65.23441113362323,65.45625783162735,55.0,62.469999999999985,65.23572289328712,65.35751819859307,49.0,62.27,65.24236142520579,65.3819305492576
535,63.0,62.42000000000001,65.40486630058469,64.73113914776741,61.0,62.95000000000001,65.31515054056662,65.33163736752857,50.0,62.27999999999997,65.19790753842416,65.442169474326,52.0,62.359999999999985,65.20082884078496,65.35652191527389,45.0,62.09,65.2011693174615,65.37383674633482
536,63.0,62.43000000000001,65.41272174047882,64.76101892426435,60.0,62.92000000000001,65.31324957656041,65.32901606590849,48.0,62.129999999999974,65.15124239232391,65.42739484695514,49.0,62.219999999999985,65.15655169161855,65.35429105485736,43.0,61.89,65.1456423897921,65.36484467692598
537,63.0,62.44000000000001,65.41951953719442,64.79070375555659,60.0,62.89000000000001,65.3100564782448,65.3266330383768,48.0,61.979999999999976,65.09281830108323,65.41176699930945,49.0,62.079999999999984,65.10144575152708,65.35063828373735,43.0,61.69,65.07348886436604,65.35465910517367
538,63.0,62.45000000000001,65.42530245713048,64.82011561125807,59.0,62.85000000000001,65.30504925415468,65.32445649927286,45.0,61.799999999999976,65.02097627496389,65.39508078378778,46.0,61.90999999999998,65.03397824726412,65.3452875685112,40.0,61.46,64.98256356893428,65.34288116012803
539,63.0,62.46000000000001,65.43011427886047,64.84912335333874,57.0,62.790000000000006,65.29760710085834,65.3223836699075,42.0,61.589999999999975,64.93395995500903,65.37709095073407,42.0,61.69999999999998,64.95243710157995,65.33798586859342,34.0,61.17,64.8706374931137,65.32912208175266
540,63.0,62.48000000000001,65.43113520075696,64.87765819218134,57.0,62.73000000000001,65.28693973537871,65.32035277539443,42.0,61.379999999999974,64.82982689203763,65.35745119945616,42.0,61.48999999999998,64.85482216274936,65.32838217889312,34.0,60.88,64.73513740072221,65.31288128565889
541,63.0,62.50000000000001,65.43131249083045,64.90565591978984,55.0,62.650000000000006,65.27211393539723,65.31822509338375,39.0,61.13999999999997,64.7065761416751,65.33582841464786,38.0,61.23999999999998,64.73895587636639,65.31613925614054,30.0,60.55,64.57326906750184,65.29365736322093
542,63.0,62.53000000000001,65.4278362845444,64.93299967521693,55.0,62.57000000000001,65.25210735289598,65.31584125853351,39.0,60.89999999999997,64.56226168323697,65.31178870574513,38.0,60.98999999999998,64.60261183581007,65.30087472940778,30.0,60.22,64.38227396153545,65.2708910279421
543,63.0,62.56000000000001,65.42366265847892,64.95963530093653,52.0,62.46000000000001,65.22579856829638,65.31307679381739,37.0,60.63999999999997,64.39503420272221,65.28491476108535,35.0,60.70999999999998,64.44357073292825,65.28216118310957,26.0,59.85,64.15951025800224,65.24396753489384
544,63.0,62.59000000000001,65.41885384273985,64.98551348210842,51.0,62.34000000000001,65.19190101131328,65.30978097707977,35.0,60.35999999999997,64.20314851947343,65.25475017041498,31.0,60.38999999999998,64.25958272680062,65.25952549294986,23.0,59.45,63.902378316767425,65.21221761394243
545,63.0,62.62000000000001,65.41347047774119,65.01058971141153,51.0,62.220000000000006,65.1489936317759,65.30571688268093,35.0,60.07999999999997,63.98494063555905,65.22080114807929,31.0,60.06999999999998,64.04827671150282,65.23244635260478,23.0,59.05,63.608284406120305,65.1748603934648
546,63.0,62.650000000000006,65.40757149312171,65.0348242332464,48.0,62.07000000000001,65.09563670098224,65.30067635737024,32.0,59.769999999999975,63.73886558391673,65.18248173601594,27.0,59.70999999999998,63.807256617471694,65.20035373203558,19.0,58.61,63.27478415164187,65.13112181342679
547,63.0,62.68000000000001,65.40121399953381,65.05818196917896,46.0,61.900000000000006,65.03029952924838,65.29442035920023,30.0,59.43999999999997,63.463442857843404,65.13923054196545,25.0,59.329999999999984,63.534157933523765,65.16262947116799,18.0,58.16,62.89962108244683,65.08018061935849
