,X_DATA_RT,X_DATA_F1_RT,X_DATA_F2_RT,X_DATA_F3_RT,Y_DATA_RT,Y_DATA_F1_RT,Y_DATA_F2_RT,Y_DATA_F3_RT,Z_DATA_RT,Z_DATA_F1_RT,Z_DATA_F2_RT,Z_DATA_F3_RT
294,9.662049293518066,-0.7959026432037348,6.0683615425174,-3.3977624900360746,17.936504364013672,15.914496898651123,17.065939983790596,16.457506014178644,-42.02601623535156,-41.6544793487549,-42.83273327192909,-42.75270179037556
295,9.662049293518066,-0.4967045021057123,6.363573357586236,-2.9960257861600885,17.936504364013672,15.946081409454345,17.07333912962432,16.482418175335287,-42.02601623535156,-41.64357122192384,-42.86732064106759,-42.73472992326612
296,8.512306213378906,-0.20900379180908146,6.648269657963393,-2.5968052276689706,16.84314727783203,15.966732349395752,17.078939234096975,16.507136603644074,-42.77947235107422,-41.64019765625001,-42.902516826414704,-42.71849555864898
297,8.512306213378906,0.06767143249511776,6.925166331456197,-2.2003994348438214,16.84314727783203,15.987090482711793,17.082990807440343,16.531637315575995,-42.77947235107422,-41.63313672790528,-42.93720222665383,-42.70403687711779
298,8.513151168823242,0.3443551063537603,7.190589366956046,-1.8070825710607243,18.102508544921875,16.02004222869873,17.08577149436074,16.555899134216098,-41.814693450927734,-41.61642801055909,-42.971434411861786,-42.6913854648518
299,7.469806671142578,0.5976358413696294,7.447784050357497,-1.4170818509478786,17.088119506835938,16.037131366729735,17.089236805769815,16.579933177585204,-42.2546272277832,-41.60134031066896,-43.00604120496684,-42.68058893589024
300,7.469806671142578,0.8509165763854987,7.6925092764442065,-1.030676436541822,17.088119506835938,16.054220504760742,17.092035032659226,16.603722710106382,-42.2546272277832,-41.58625261077882,-43.04019383767412,-42.671632868243925
301,7.469806671142578,1.1041973114013677,7.924275873550585,-0.648086116137574,17.088119506835938,16.071309642791746,17.09484819692458,16.627265028263846,-42.2546272277832,-41.57116491088868,-43.075641116780155,-42.66455415540473
302,5.695584297180176,1.3243955135345464,8.147004965666348,-0.26959486419832585,15.356955528259277,16.069470252990723,17.097322796505818,16.650536973052642,-39.86238479614258,-41.52599183807374,-43.11051862952919,-42.65936988893037
303,5.695584297180176,1.534188137054444,8.358700180309784,0.10454211388368463,15.356955528259277,16.06432831764221,17.100356010874318,16.67353066207458,-39.86238479614258,-41.49432691345216,-43.140671801301885,-42.65601139223891
304,6.072563171386719,1.7477505493164067,8.555775111873565,0.47406730049402473,17.315759658813477,16.078774423599242,17.102854440562073,16.696218842032888,-41.86980438232422,-41.48273618469239,-43.16961683993922,-42.654433544411006
305,5.6213884353637695,1.9568012142181401,8.737750088927902,0.8386575897579864,17.504501342773438,16.095107946395874,17.104825874448995,16.71856948515674,-41.63547134399414,-41.46880212554933,-43.197110079718165,-42.6546276269718
306,5.6213884353637695,2.1658518791198738,8.904263449388733,1.1980202490573246,17.504501342773438,16.111441469192506,17.106475502532405,16.740552498282053,-41.63547134399414,-41.45486806640626,-43.225373754688114,-42.656629960615405
307,4.977264404296875,2.3624508190155034,9.056744731135458,1.5518336896916332,17.749874114990234,16.130922861099243,17.107882468570175,16.762122171098625,-41.4564323425293,-41.43117292175294,-43.25206836130433,-42.66043509077916
308,4.977264404296875,2.5468088245391853,9.196708733663874,1.8998259008403369,17.749874114990234,16.14797095298767,17.11021725235402,16.783291918944307,-41.4564323425293,-41.40768026123048,-43.277088606849695,-42.66601321602972
309,4.977264404296875,2.731166830062867,9.320408782927435,2.2415286570967075,17.749874114990234,16.1650190448761,17.113019278981717,16.80415265886415,-41.4564323425293,-41.38418760070802,-43.300452284743976,-42.67325519291889
310,3.7844948768615723,2.924568629264832,9.421692469411195,2.5765938960600243,18.076438903808594,16.171299180984498,17.120528261484402,16.824697685632486,-41.22401809692383,-41.3582707977295,-43.32215195765004,-42.682106894867026
311,3.7844948768615723,3.1179704284667973,9.506508234799096,2.9049247279255686,18.076438903808594,16.177579317092896,17.127067154030158,16.844907716860956,-41.22401809692383,-41.332453994750985,-43.339499685528615,-42.69244996853733
312,3.7844948768615723,3.2677092885971075,9.587255521795523,3.2261686065706,18.076438903808594,16.190217065811158,17.134680484079624,16.864813941076093,-41.22401809692383,-41.3156633758545,-43.35509206423422,-42.704311626099205
313,3.3488802909851074,3.413092002868653,9.65122599913849,3.5399725933551665,0.655350923538208,16.028643934726716,17.14304175192194,16.88443401981323,-94.00106811523438,-41.298772756958016,-43.36889324330297,-42.717601678704845
314,3.3488802909851074,3.5598076105117804,9.698037456798517,3.8459793726330944,0.655350923538208,15.87156014919281,17.149046397874752,16.9037444913391,-94.00106811523438,-41.278027555847174,-43.38201304625324,-42.73231164087182
315,3.3488802909851074,3.7065232181549077,9.728149774868058,4.143872692270923,0.655350923538208,15.714476363658905,17.15113308729256,16.922667240858217,-94.00106811523438,-41.25718235473633,-43.39454935739296,-42.748353745430784
316,3.8007395267486572,3.8525666737556463,9.743230760017346,4.433315752270306,17.617984771728516,15.726122272014617,17.146309742329823,16.94106076589563,-41.713626861572266,-41.23694366912842,-43.40523841053749,-42.76560618259111
317,-1.596567153930664,3.959278767108918,9.737739335567504,4.713896547719065,12.451456069946289,15.666901767253876,17.13905052289122,16.95887739259535,-12.772202491760254,-40.93379018287659,-43.41143542056297,-42.78385467390065
318,-1.596567153930664,4.044463217258454,9.721914499403468,4.985417275283874,12.451456069946289,15.63648218870163,17.115721157031818,16.975750859729626,-12.772202491760254,-40.65440386276246,-43.40506000999906,-42.80276099800096
319,2.41977596282959,4.169811098575592,9.689149524561715,5.247555200336723,12.80704116821289,15.60961846113205,17.08494273102422,16.991508044259767,-52.28208923339844,-40.375117542648326,-43.387755737774384,-42.822004521008175
320,2.41977596282959,4.266430189609528,9.647663457796336,5.500161255017289,12.80704116821289,15.615641114711762,17.037493814239454,17.005788475543554,-52.28208923339844,-40.121219461059574,-43.3469057793189,-42.84102317799581
321,2.9464049339294434,4.368315570354462,9.58961205699753,5.742937110492699,15.965330123901367,15.653246657848358,16.983278345082603,17.018430700710308,-36.097686767578125,-40.10037622222901,-43.285917080555436,-42.85936101909615
322,2.9464049339294434,4.4821162819862375,9.5122902422355,5.975540454673407,15.965330123901367,15.659812695980072,16.93188142074233,17.02944763406495,-36.097686767578125,-40.07170488128663,-43.20578744277266,-42.87664061532838
323,2.532867431640625,4.591781618595124,9.419947303900662,6.197722198746535,15.986600875854492,15.666591441631317,16.875242481103886,17.038701055796057,-35.653533935546875,-40.03859201202393,-43.105349876185734,-42.89245465784708
324,1.7426166534423828,4.67026314496994,9.320047361212938,6.4093905212467455,15.91700553894043,15.6987145113945,16.80685491802164,17.045935257533205,-35.860572814941406,-39.99094857940675,-42.99114592375191,-42.90650133043417
325,1.7426166534423828,4.748744671344758,9.206558961106266,6.610341215831095,15.91700553894043,15.730837581157685,16.7351570162495,17.051064099102444,-35.860572814941406,-39.943305146789555,-42.86007551488422,-42.91840735067623
326,-0.014520645141601562,4.800351860523224,9.082759609877714,6.800443842857325,17.68410873413086,15.778697726726532,16.66158903076084,17.05403959422329,-41.39644241333008,-39.951001031494144,-42.71396505497502,-42.92782941219795
327,-0.014520645141601562,4.851959049701692,8.946437483411993,6.979530921414532,17.68410873413086,15.82655787229538,16.5865419444139,17.05481354236236,-41.39644241333008,-39.95869691619874,-42.55503224854804,-42.93445827130531
328,-1.4560527801513672,4.889150917530061,8.797942553086251,7.147407760883579,17.10579490661621,15.86863487958908,16.510986119941116,17.053526839439566,-40.83006286621094,-39.960729005432135,-42.38580304781497,-42.93801791074905
329,-1.4560527801513672,4.9332880854606636,8.635540320985271,7.303930834817585,17.10579490661621,15.886283700466157,16.442796744046756,17.05016151597984,-40.83006286621094,-39.96579396972657,-42.20771564880856,-42.93829081483209
330,-0.5367550849914551,4.986618230342866,8.461496361626065,7.448968529323834,12.63241958618164,15.859198768138885,16.375526447367903,17.044696817631444,-36.19545364379883,-39.92451284179688,-42.02333841199391,-42.9350708978644
331,-0.5367550849914551,5.014466269016267,8.283500088998597,7.582548938847817,12.63241958618164,15.854585502147675,16.302901517324653,17.03701139755645,-36.19545364379883,-39.882333886718754,-41.834103587809174,-42.92818139656603
332,-2.239570379257202,5.0446202135086065,8.089118739193355,7.704456292349904,16.339824676513672,15.85923380613327,16.239278204619666,17.02727789370391,-40.32798767089844,-39.8719173980713,-41.64361717165673,-42.91755421424339
333,-2.239570379257202,5.074774158000946,7.884383876795318,7.8146009275869375,16.339824676513672,15.863882110118865,16.176690993528045,17.015494194332387,-40.32798767089844,-39.86150090942383,-41.450427998497915,-42.9030520649726
334,-1.3096399307250977,5.097298007011414,7.674533788889678,7.913004866936092,13.275699615478516,15.818233497142792,16.121081523636718,17.0017993103304,-36.31272506713867,-39.82366567382813,-41.25212314695712,-42.88454314558814
335,-1.3096399307250977,5.119821856021882,7.455153031138683,7.999607678779888,13.275699615478516,15.772584884166717,16.066864823868382,16.98616346753745,-36.31272506713867,-39.78583043823243,-41.05331231328249,-42.86192921845822
336,-1.6442184448242188,5.115069649219514,7.233712826634501,8.074505611901154,13.816900253295898,15.775402028560638,16.001547364355094,16.968395223693467,-35.7861328125,-39.731591699218754,-40.85792052385231,-42.83525626716319
